Q5589815,[aserbaidschanische Bühnenschauspielerin]
Q106583090,[deutscher Maler und Kupferstecher ]
Q106583174,[deutscher Richter und Politiker, MdL]
Q106583171,[deutscher Kunst- und Architekturkritiker sowie Kurator]
Q3750301,[ghanaischer Komponist, Folklorist, Musikwissenschaftler und Pädagoge]
Q106583345,[deutscher Kürschnermeister und Politiker (SPD, USPD)]
Q962762,[Mitglied aus dem Haus Orléans, Prinzessin beider Sizilien]
Q106583843,[deutscher Ministerialbeamter]
Q106583839,[deutscher Gastwirt und Politiker, MdL]
Q106588398,[griechischer Dichter]
Q106583908,[deutscher Maler und Grafiker]
Q107153115,[bildende Künstlerin]
Q6022565,[che Parasitologin
|GEBU]
Q106586992,[deutsche Schriftstellerin]
Q106586994,[österreichischer Fußballspieler]
Q106587212,[deutscher Orgelbauer]
Q5993594,[sowjetischer Kanute]
Q106587203,[US-amerikanischer Filmproduzent, Filmregisseur und Filmschaffender]
Q4341526,[russischer Wissenschaftler]
Q106588399,[portugiesischer Sprinter]
Q106588629,[Schweizer Erfinder]
Q106588400,[US-amerikanischer Basketballspieler]
Q105315375,[slowenischer Sprinter]
Q106588265,[deutsche Schriftstellerin und Herausgeberin]
Q106588401,[deutscher Porträtmaler]
Q106588614,[estnischer Sprinter]
Q106649477,[griechisch-US-amerikanische Schriftstellerin]
Q15241029,[slowakischer Hürdenläufer]
Q106588770,[ecuadorianische Sprinterin]
Q106588767,[ecuadorianische Sprinterin]
Q3348839,[französischer Arabist]
Q106589888,[deutscher Militärarzt, Neurologe und Psychiater]
Q10527149,[costa-ricanisch-guatemaltekischer Fußballspieler]
Q106591504,[deutscher Handballspieler]
Q106589594,[deutsche Rechtswissenschaftlerin]
Q73853033,[chinesischer Fußballspieler]
Q106589883,[indonesischer Jazzmusiker (Gitarre)]
Q83680797,[japanischer Fußballspieler]
Q106589881,[US-amerikanischer Jazzmusiker (Saxophon)]
Q56253660,[japanischer Fußballspieler]
Q3866989,[südkoreanischer Fußballspieler]
Q106604561,[deutscher Journalist und Medienmanager]
Q106591659,[deutsche Handballspielerin]
Q106599759,[deutsche Malerin]
Q106591810,[deutscher Handballspieler]
Q6947660,[englischer Priester und Präsident des Kings College]
Q106729676,[deutscher Historiker, Autor, Finanzphilosoph und Vermögensverwalter]
Q106591953,[deutsche Erziehungswissenschaftlerin und Geragogin]
Q106591942,[französische Musikerin und Sängerin]
Q106635189,[Landgraf von Hessen-Homburg]
Q106592211,[Mitglied des Provinziallandtages der Provinz Hessen-Nassau]
Q106592194,[polnische und deutsche Handballspielerin]
Q12847691,[zistin, Verlegerin, die erste Redakteurin in Aserbaidschan
|GEB]
Q5079283,[irischer Bischof]
Q106594046,[deutscher Schauspieler]
Q106592717,[deutsche parteilose Politikerin, Landrat des Kreises Pinneberg]
Q106592699,[deutscher Gewerkschaftsfunktionär und Politiker (SPD, USPD)]
Q106831486,[ungarische Filmregisseurin]
Q106592973,[deutsche Handballspielerin]
Q106592968,[Vermessungsingenieur]
Q106592963,[deutscher Volleyballspieler und -trainer]
Q98753101,[französischer Fußballspieler]
Q106592957,[deutsche Handballspielerin]
Q3940960,[US-amerikanischer Amateurastronom]
Q106593920,[Bürgermeister, Mitglied des Provinziallandtages der Provinz Hessen-Nassau]
Q106593984,[englisch-deutsche Geigerin]
Q7382667,[US-amerikanischer Musiker und Pedal-Steel-Gitarrist]
Q5482019,[britischer Offizier und Politiker]
Q106594434,[ deutsche Juristin, Richterin und Gerichtspräsidentin]
Q98842937,[kirgisischer Zollbeamter]
Q106594074,[Ministerialrat und Landtagskommissar]
Q99389947,[deutscher Künstler]
Q106594269,[Schweizer Zeichner und Plastiker]
Q584248,[slowakischer Leichtathlet]
Q106594437,[deutscher Gutsbesitzer, Bürgermeister und Mitglied der kurhessischen Ständeversammlung]
Q106594491,[Schweizer Verwaltungsrat]
Q6688683,[britische Sängerin ]
Q106594918,[deutscher Landschaftsmaler]
Q106595245,[brasilianischer Generalleutnant und UN-Kommandeur]
Q106594917,[deutscher Verwaltungsjurist und Politiker]
Q106595644,[deutscher Architekt]
Q106595248,[griechischer Theaterregisseur]
Q106595408,[deutscher Lehrer und Schulbuchautor]
Q67150343,[tschechischer Volleyballspieler]
Q94862891,[deutscher Psychologe]
Q2625069,[russischer Literaturwissenschaftler, Philologe und Hochschullehrer]
Q95288250,[deutscher Unternehmer und Verbandsfunktionär der Druck- und Papierindustrie]
Q21518474,[südafrikanischer Schauspieler]
Q106595646,[deutscher Marineoffizier, zuletzt Konteradmiral der Kriegsmarine]
Q91967934,[südafrikanischer Schauspieler]
Q106595685,[namhafter Ebenist/Kunst-Schreiner des schwedischen Empire zur Zeit König Karl XIV. Johan]
Q81903386,[kroatische Skilangläuferin]
Q12835802,[serbaidschanischer Rapper, Songwriter und Schauspieler
]
Q26837733,[kanadischer Volleyballspieler]
Q1076831,[schottischer Geschäftsmann und Musikmanager]
Q24249975,[spanischer Wasserballspieler]
Q2057232,[US-amerikanischer Mixed Martial Artist]
Q21390288,[indischer Ichthyologe und Ökologe]
Q106596147,[US-amerikanische Filmemacherin, Drehbuchautorin und Filmproduzentin]
Q9337117,[lleyballspielerin aus Trinidad und Tobago
|]
Q19810297,[weißrussischer Fußballspieler]
Q60833084,[tschechischer Volleyballspieler]
Q106596187,[US-amerikanischer Filmproduzent]
Q22110029,[US-amerikanischer Filmproduzent, Filmregisseur und Drehbuchautor ]
Q67087729,[rumänische Diplomatin und Botschafterin]
Q96473672,[griechische Diplomatin und Botschafterin]
Q90862333,[japanischer Fußballspieler]
Q11727559,[polnische Arabistin, Diplomatin und Botschafterin]
Q90866605,[japanischer Fußballspieler]
Q96707298,[japanischer Fußballspieler]
Q90863896,[japanischer Fußballspieler]
Q38276793,[japanischer Fußballspieler]
Q92923559,[japanischer Fußballspieler]
Q90866609,[japanischer Fußballspieler]
Q78451329,[japanischer Fußballspieler]
Q106686676,[russische Handballspielerin]
Q101265738,[japanischer Fußballspieler]
Q79076529,[singapurischer Fußballspieler]
Q22106449,[britischer Musiker, Arrangeur und Komponist]
Q106599768,[US-amerikanischer Jazzmusiker (Saxophon)]
Q106599762,[amerikanischer Jazzmusiker (Saxophone, Klarinette)]
Q106599763,[Fechtmeister]
Q22235053,[Komponist für Film und Fernsehen]
Q63131207,[japanischer Fußballspieler]
Q106598110,[japanischer Fußballspieler]
Q105943536,[japanischer Fußballspieler]
Q105943532,[japanischer Fußballspieler]
Q60841674,[deutsche Lehrerin und Schriftstellerin]
Q106599760,[US-amerikanische Filmproduzentin und Drehbuchautorin]
Q106599765,[ukrainischer und sowjetischer Chemiker, Opfer der Großen Terrors]
Q106600346,[deutscher Tuchmachermeister und Politiker, MdL]
Q106600347,[deutscher Fußballspieler]
Q7292278,[US-amerikanischer Musiker]
Q106600349,[deutscher Pfarrer und Politiker, MdL]
Q2499406,[französischer Schauspieler und Filmregisseur]
Q106600667,[deutscher Lederfabrikant und Politiker, MdL]
Q2831958,[englische Schauspielerin]
Q838702,[ungarischer Kanute]
Q96278741,[slowenische Diplomatin und Botschafterin]
Q106600791,[Mitglied des Provinziallandtages der Provinz Hessen-Nassau]
Q106600792,[Schweizer Widerstandskämpfer gegen den Nationalsozialismus und Politiker (SP)]
Q10555064,[schottischer Fußballspieler]
Q6667112,[US-amerikanischer Radrennfahrer]
Q106059562,[Schweizer Software-Entwicklerin und Computer-Hackerin]
Q5243582,[US-amerikanischer Science-Fiction-Autor]
Q106601308,[deutsche Musikproduzentin, Multiinstrumentalistin und Songwriterin]
Q98834267,[deutscher Landschafts-, Tier- und Genremaler der Düsseldorfer Schule]
Q61906182,[englischer Fußballspieler]
Q106602543,[deutsche kommunale Verwaltungsbeamtin, ehemaliges ordentliches nicht berufsrichterliches Mitglied des Verfassungsgerichtshofs Rheinland-Pfalz]
Q106647447,[deutsche Malerin]
Q106600576,[australische Schauspielerin]
Q106602207,[österreichischer Jurist]
Q106602540,[österreichischer Jurist]
Q106602203,[deutscher Soziologe]
Q96350641,[US-amerikanische Filmschauspielerin]
Q106602541,[österreichischer Jurist]
Q106602542,[Provinzialdirektor und Abgeordneter]
Q17580392,[französischer Regattasegler]
Q105437982,[US-amerikanischer Softwareentwickler]
Q81903887,[kroatische Skilangläuferin]
Q106602868,[deutscher Richter und Politiker]
Q106610208,[deutsche Historikerin und ehemaliges Mitglied des Verfassungsgerichtshofs Rheinland-Pfalz]
Q106603408,[australischer Rechtswissenschaftler]
Q55136080,[deutscher Schriftsteller]
Q3566449,[griechische Sängerin]
Q106603385,[deutscher Politikwissenschaftler]
Q9034140,[tschadischer Politiker und Diplomat]
